,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Totma,100,RU,1581512691,97,59.97,42.76,32.74,9.84
1,Cabo San Lucas,4,MX,1581512680,85,22.89,-109.91,51.01,5.32
2,Wonthaggi,0,AU,1581512691,91,-38.6,145.59,68.0,8.01
3,Norman Wells,40,CA,1581512691,82,65.28,-126.83,-16.6,6.93
4,Puerto Ayora,20,EC,1581512692,78,-0.74,-90.35,78.8,9.17
5,Moose Factory,90,CA,1581512692,72,51.26,-80.61,15.8,24.16
6,Hong Kong,40,HK,1581512586,88,22.29,114.16,71.01,5.82
7,Abalak,100,RU,1581512692,94,58.13,68.59,15.75,6.96
8,Maple Creek,100,CA,1581512692,91,49.92,-109.48,1.81,7.52
9,Bambous Virieux,40,MU,1581512693,79,-20.34,57.76,84.2,17.22
10,Tuktoyaktuk,0,CA,1581512693,96,69.45,-133.04,-21.75,10.04
11,Caxias,75,PT,1581512693,82,38.7,-9.28,60.01,4.7
12,Hermanus,0,ZA,1581512693,46,-34.42,19.23,89.01,5.99
13,Chimbote,95,PE,1581512693,86,-9.09,-78.58,69.85,2.77
14,George,0,ZA,1581512498,51,-33.96,22.46,84.2,8.05
15,Rikitea,4,PF,1581512694,79,-23.12,-134.97,79.02,17.38
16,Punta Arenas,4,CL,1581512694,53,-53.15,-70.92,50.0,12.75
17,Saint Anthony,1,US,1581512405,82,45.02,-93.22,32.0,10.29
18,Fortuna,90,US,1581512695,93,40.6,-124.16,46.0,8.05
19,Pevek,8,RU,1581512695,55,69.7,170.31,-1.03,4.36
20,Burnie,37,AU,1581512695,80,-41.07,145.92,66.0,4.56
21,Ushuaia,40,AR,1581512541,61,-54.8,-68.3,50.0,18.34
22,Srandakan,100,ID,1581512696,90,-7.94,110.25,75.54,2.53
23,Talnakh,40,RU,1581512696,84,69.49,88.4,6.8,29.08
24,Avarua,100,CK,1581512696,83,-21.21,-159.78,80.6,6.93
25,Zhanaozen,0,KZ,1581512696,58,43.3,52.8,30.69,18.5
26,Abu Samrah,92,SY,1581512696,63,35.3,37.18,42.62,7.47
27,Ous,82,RU,1581512697,92,60.91,61.52,22.75,4.63
28,Kapaa,40,US,1581512697,88,22.08,-159.32,69.8,6.93
29,Busselton,100,AU,1581512697,87,-33.65,115.33,69.01,10.85
30,Manjacaze,81,MZ,1581512697,60,-24.71,33.88,84.54,14.74
31,Mar del Plata,0,AR,1581512492,79,-38.0,-57.56,75.0,23.0
32,Keetmanshoop,100,NA,1581512698,20,-26.58,18.13,94.1,10.89
33,Leningradskiy,79,RU,1581512698,96,69.38,178.42,-19.79,10.16
34,Cape Town,0,ZA,1581512615,51,-33.93,18.42,95.0,13.87
35,Oodweyne,32,SO,1581512698,40,9.41,45.06,81.5,17.22
36,Hilo,90,US,1581512698,88,19.73,-155.09,66.2,3.4
